[2026-04-20 12:09:00.529] VENDA_LOJA_CLIENTE | veiculoId=33 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=32 | clienteId=8 | posGaragemCliente=0
[2026-04-20 12:09:00.531] VENDA_LOJA_CLIENTE | veiculoId=34 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=33 | clienteId=16 | posGaragemCliente=0
[2026-04-20 12:09:00.609] VENDA_LOJA_CLIENTE | veiculoId=2 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=0 | clienteId=1 | posGaragemCliente=0
[2026-04-20 12:09:00.654] VENDA_LOJA_CLIENTE | veiculoId=17 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=16 | clienteId=3 | posGaragemCliente=0
[2026-04-20 12:09:00.660] VENDA_LOJA_CLIENTE | veiculoId=35 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=34 | clienteId=7 | posGaragemCliente=0
[2026-04-20 12:09:00.689] VENDA_LOJA_CLIENTE | veiculoId=18 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=17 | clienteId=17 | posGaragemCliente=0
[2026-04-20 12:09:00.717] VENDA_LOJA_CLIENTE | veiculoId=19 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=18 | clienteId=9 | posGaragemCliente=0
[2026-04-20 12:09:00.741] VENDA_LOJA_CLIENTE | veiculoId=20 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=19 | clienteId=13 | posGaragemCliente=0
[2026-04-20 12:09:00.756] VENDA_LOJA_CLIENTE | veiculoId=1 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=1 | clienteId=6 | posGaragemCliente=0
[2026-04-20 12:09:00.794] VENDA_LOJA_CLIENTE | veiculoId=3 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=2 | clienteId=11 | posGaragemCliente=0
[2026-04-20 12:09:00.826] VENDA_LOJA_CLIENTE | veiculoId=36 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=35 | clienteId=2 | posGaragemCliente=0
