[2026-04-20 12:07:13.805] VENDA_FABRICA_LOJA | veiculoId=2 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=0 | lojaId=1 | posEsteiraLoja=0
[2026-04-20 12:07:13.860] VENDA_FABRICA_LOJA | veiculoId=1 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=1 | lojaId=1 | posEsteiraLoja=1
[2026-04-20 12:07:13.912] VENDA_FABRICA_LOJA | veiculoId=3 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=2 | lojaId=1 | posEsteiraLoja=2
[2026-04-20 12:07:13.964] VENDA_FABRICA_LOJA | veiculoId=4 | cor=G | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=3 | lojaId=1 | posEsteiraLoja=3
[2026-04-20 12:07:14.018] VENDA_FABRICA_LOJA | veiculoId=5 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=4 | lojaId=1 | posEsteiraLoja=4
[2026-04-20 12:07:14.070] VENDA_FABRICA_LOJA | veiculoId=6 | cor=R | tipo=SUV | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=5 | lojaId=1 | posEsteiraLoja=5
[2026-04-20 12:07:14.121] VENDA_FABRICA_LOJA | veiculoId=7 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=6 | lojaId=1 | posEsteiraLoja=6
[2026-04-20 12:07:14.174] VENDA_FABRICA_LOJA | veiculoId=8 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=7 | lojaId=1 | posEsteiraLoja=7
[2026-04-20 12:07:14.226] VENDA_FABRICA_LOJA | veiculoId=9 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=8 | lojaId=1 | posEsteiraLoja=8
[2026-04-20 12:07:14.278] VENDA_FABRICA_LOJA | veiculoId=10 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=9 | lojaId=1 | posEsteiraLoja=9
[2026-04-20 12:07:14.332] VENDA_FABRICA_LOJA | veiculoId=11 | cor=B | tipo=SEDAN | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=10 | lojaId=1 | posEsteiraLoja=10
[2026-04-20 12:07:14.385] VENDA_FABRICA_LOJA | veiculoId=12 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=11 | lojaId=1 | posEsteiraLoja=11
[2026-04-20 12:07:14.437] VENDA_FABRICA_LOJA | veiculoId=13 | cor=G | tipo=SEDAN | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=12 | lojaId=1 | posEsteiraLoja=12
[2026-04-20 12:07:14.489] VENDA_FABRICA_LOJA | veiculoId=15 | cor=R | tipo=SEDAN | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=13 | lojaId=1 | posEsteiraLoja=13
[2026-04-20 12:07:14.541] VENDA_FABRICA_LOJA | veiculoId=14 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=14 | lojaId=1 | posEsteiraLoja=14
[2026-04-20 12:09:00.607] VENDA_FABRICA_LOJA | veiculoId=16 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=15 | lojaId=1 | posEsteiraLoja=0
[2026-04-20 12:09:00.754] VENDA_FABRICA_LOJA | veiculoId=51 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=10 | lojaId=1 | posEsteiraLoja=1
[2026-04-20 12:09:00.817] VENDA_FABRICA_LOJA | veiculoId=54 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=14 | lojaId=1 | posEsteiraLoja=2
[2026-04-20 12:09:00.923] VENDA_FABRICA_LOJA | veiculoId=57 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=16 | lojaId=1 | posEsteiraLoja=3
[2026-04-20 12:09:00.989] VENDA_FABRICA_LOJA | veiculoId=60 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=20 | lojaId=1 | posEsteiraLoja=4
[2026-04-20 12:09:01.050] VENDA_FABRICA_LOJA | veiculoId=63 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=22 | lojaId=1 | posEsteiraLoja=5
[2026-04-20 12:09:01.112] VENDA_FABRICA_LOJA | veiculoId=65 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=24 | lojaId=1 | posEsteiraLoja=6
[2026-04-20 12:09:01.174] VENDA_FABRICA_LOJA | veiculoId=67 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=26 | lojaId=1 | posEsteiraLoja=7
[2026-04-20 12:09:01.236] VENDA_FABRICA_LOJA | veiculoId=70 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=29 | lojaId=1 | posEsteiraLoja=8
[2026-04-20 12:09:01.298] VENDA_FABRICA_LOJA | veiculoId=73 | cor=G | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=32 | lojaId=1 | posEsteiraLoja=9
[2026-04-20 12:09:01.359] VENDA_FABRICA_LOJA | veiculoId=75 | cor=R | tipo=SEDAN | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=34 | lojaId=1 | posEsteiraLoja=10
[2026-04-20 12:09:01.421] VENDA_FABRICA_LOJA | veiculoId=78 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=38 | lojaId=1 | posEsteiraLoja=11
[2026-04-20 12:09:01.484] VENDA_FABRICA_LOJA | veiculoId=81 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=0 | lojaId=1 | posEsteiraLoja=12
[2026-04-20 12:09:01.548] VENDA_FABRICA_LOJA | veiculoId=83 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=2 | lojaId=1 | posEsteiraLoja=13
[2026-04-20 12:09:01.610] VENDA_FABRICA_LOJA | veiculoId=86 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=5 | lojaId=1 | posEsteiraLoja=14
[2026-04-20 12:09:01.672] VENDA_FABRICA_LOJA | veiculoId=88 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=7 | lojaId=1 | posEsteiraLoja=0
[2026-04-20 12:09:01.735] VENDA_FABRICA_LOJA | veiculoId=91 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=10 | lojaId=1 | posEsteiraLoja=1
[2026-04-20 12:09:01.796] VENDA_FABRICA_LOJA | veiculoId=94 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=13 | lojaId=1 | posEsteiraLoja=2
[2026-04-20 12:09:01.858] VENDA_FABRICA_LOJA | veiculoId=97 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=16 | lojaId=1 | posEsteiraLoja=3
[2026-04-20 12:09:02.049] VENDA_FABRICA_LOJA | veiculoId=100 | cor=G | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=19 | lojaId=1 | posEsteiraLoja=4
[2026-04-20 12:09:02.104] VENDA_FABRICA_LOJA | veiculoId=107 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=26 | lojaId=1 | posEsteiraLoja=5
[2026-04-20 12:09:02.167] VENDA_FABRICA_LOJA | veiculoId=110 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=29 | lojaId=1 | posEsteiraLoja=6
[2026-04-20 12:09:02.229] VENDA_FABRICA_LOJA | veiculoId=113 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=32 | lojaId=1 | posEsteiraLoja=7
[2026-04-20 12:09:02.291] VENDA_FABRICA_LOJA | veiculoId=116 | cor=B | tipo=SUV | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=35 | lojaId=1 | posEsteiraLoja=8
[2026-04-20 12:09:02.355] VENDA_FABRICA_LOJA | veiculoId=119 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=37 | lojaId=1 | posEsteiraLoja=9
[2026-04-20 12:09:02.415] VENDA_FABRICA_LOJA | veiculoId=120 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=39 | lojaId=1 | posEsteiraLoja=10
[2026-04-20 12:09:02.476] VENDA_FABRICA_LOJA | veiculoId=122 | cor=B | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=1 | lojaId=1 | posEsteiraLoja=11
[2026-04-20 12:09:02.539] VENDA_FABRICA_LOJA | veiculoId=123 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=3 | lojaId=1 | posEsteiraLoja=12
[2026-04-20 12:09:02.600] VENDA_FABRICA_LOJA | veiculoId=126 | cor=R | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=5 | lojaId=1 | posEsteiraLoja=13
[2026-04-20 12:09:02.661] VENDA_FABRICA_LOJA | veiculoId=128 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=8 | lojaId=1 | posEsteiraLoja=14
[2026-04-20 12:09:02.739] VENDA_FABRICA_LOJA | veiculoId=132 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=11 | lojaId=1 | posEsteiraLoja=0
[2026-04-20 12:09:02.799] VENDA_FABRICA_LOJA | veiculoId=133 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=13 | lojaId=1 | posEsteiraLoja=1
