[2026-04-20 12:09:00.607] VENDA_LOJA_CLIENTE | veiculoId=2 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=0 | clienteId=1 | posGaragemCliente=-1
[2026-04-20 12:09:00.754] VENDA_LOJA_CLIENTE | veiculoId=1 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=1 | clienteId=6 | posGaragemCliente=-1
[2026-04-20 12:09:00.792] VENDA_LOJA_CLIENTE | veiculoId=3 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=2 | clienteId=11 | posGaragemCliente=-1
[2026-04-20 12:09:00.923] VENDA_LOJA_CLIENTE | veiculoId=4 | cor=G | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=3 | clienteId=5 | posGaragemCliente=-1
[2026-04-20 12:09:00.940] VENDA_LOJA_CLIENTE | veiculoId=5 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=4 | clienteId=9 | posGaragemCliente=-1
[2026-04-20 12:09:00.976] VENDA_LOJA_CLIENTE | veiculoId=6 | cor=R | tipo=SUV | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=5 | clienteId=14 | posGaragemCliente=-1
[2026-04-20 12:09:00.985] VENDA_LOJA_CLIENTE | veiculoId=7 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=6 | clienteId=15 | posGaragemCliente=-1
[2026-04-20 12:09:01.008] VENDA_LOJA_CLIENTE | veiculoId=8 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=7 | clienteId=18 | posGaragemCliente=-1
[2026-04-20 12:09:01.127] VENDA_LOJA_CLIENTE | veiculoId=9 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=8 | clienteId=1 | posGaragemCliente=-1
[2026-04-20 12:09:01.214] VENDA_LOJA_CLIENTE | veiculoId=10 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=9 | clienteId=5 | posGaragemCliente=-1
[2026-04-20 12:09:01.274] VENDA_LOJA_CLIENTE | veiculoId=11 | cor=B | tipo=SEDAN | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=10 | clienteId=2 | posGaragemCliente=-1
[2026-04-20 12:09:01.295] VENDA_LOJA_CLIENTE | veiculoId=12 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=11 | clienteId=14 | posGaragemCliente=-1
[2026-04-20 12:09:01.376] VENDA_LOJA_CLIENTE | veiculoId=13 | cor=G | tipo=SEDAN | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=12 | clienteId=11 | posGaragemCliente=-1
[2026-04-20 12:09:01.378] VENDA_LOJA_CLIENTE | veiculoId=15 | cor=R | tipo=SEDAN | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=13 | clienteId=20 | posGaragemCliente=-1
[2026-04-20 12:09:01.448] VENDA_LOJA_CLIENTE | veiculoId=14 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=14 | clienteId=8 | posGaragemCliente=-1
[2026-04-20 12:09:01.508] VENDA_LOJA_CLIENTE | veiculoId=16 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=15 | clienteId=2 | posGaragemCliente=-1
[2026-04-20 12:09:01.533] VENDA_LOJA_CLIENTE | veiculoId=51 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=10 | clienteId=6 | posGaragemCliente=-1
[2026-04-20 12:09:01.657] VENDA_LOJA_CLIENTE | veiculoId=54 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=14 | clienteId=8 | posGaragemCliente=-1
[2026-04-20 12:09:01.787] VENDA_LOJA_CLIENTE | veiculoId=57 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=16 | clienteId=16 | posGaragemCliente=-1
