[2026-04-20 12:07:43.264] VENDA_FABRICA_LOJA | veiculoId=17 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=16 | lojaId=2 | posEsteiraLoja=0
[2026-04-20 12:07:43.319] VENDA_FABRICA_LOJA | veiculoId=18 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=17 | lojaId=2 | posEsteiraLoja=1
[2026-04-20 12:07:43.373] VENDA_FABRICA_LOJA | veiculoId=19 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=18 | lojaId=2 | posEsteiraLoja=2
[2026-04-20 12:07:43.426] VENDA_FABRICA_LOJA | veiculoId=20 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=19 | lojaId=2 | posEsteiraLoja=3
[2026-04-20 12:07:43.479] VENDA_FABRICA_LOJA | veiculoId=21 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=20 | lojaId=2 | posEsteiraLoja=4
[2026-04-20 12:07:43.532] VENDA_FABRICA_LOJA | veiculoId=22 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=21 | lojaId=2 | posEsteiraLoja=5
[2026-04-20 12:07:43.584] VENDA_FABRICA_LOJA | veiculoId=23 | cor=B | tipo=SEDAN | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=22 | lojaId=2 | posEsteiraLoja=6
[2026-04-20 12:07:43.636] VENDA_FABRICA_LOJA | veiculoId=24 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=23 | lojaId=2 | posEsteiraLoja=7
[2026-04-20 12:07:43.688] VENDA_FABRICA_LOJA | veiculoId=26 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=24 | lojaId=2 | posEsteiraLoja=8
[2026-04-20 12:07:43.741] VENDA_FABRICA_LOJA | veiculoId=25 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=25 | lojaId=2 | posEsteiraLoja=9
[2026-04-20 12:07:43.793] VENDA_FABRICA_LOJA | veiculoId=27 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=26 | lojaId=2 | posEsteiraLoja=10
[2026-04-20 12:07:43.845] VENDA_FABRICA_LOJA | veiculoId=28 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=27 | lojaId=2 | posEsteiraLoja=11
