[2026-04-20 12:09:00.653] VENDA_LOJA_CLIENTE | veiculoId=17 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=16 | clienteId=3 | posGaragemCliente=-1
[2026-04-20 12:09:00.688] VENDA_LOJA_CLIENTE | veiculoId=18 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=17 | clienteId=17 | posGaragemCliente=-1
[2026-04-20 12:09:00.715] VENDA_LOJA_CLIENTE | veiculoId=19 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=18 | clienteId=9 | posGaragemCliente=-1
[2026-04-20 12:09:00.739] VENDA_LOJA_CLIENTE | veiculoId=20 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=19 | clienteId=13 | posGaragemCliente=-1
[2026-04-20 12:09:00.880] VENDA_LOJA_CLIENTE | veiculoId=21 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=20 | clienteId=12 | posGaragemCliente=-1
[2026-04-20 12:09:00.940] VENDA_LOJA_CLIENTE | veiculoId=22 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=21 | clienteId=16 | posGaragemCliente=-1
[2026-04-20 12:09:00.969] VENDA_LOJA_CLIENTE | veiculoId=23 | cor=B | tipo=SEDAN | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=22 | clienteId=19 | posGaragemCliente=-1
[2026-04-20 12:09:00.975] VENDA_LOJA_CLIENTE | veiculoId=24 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=23 | clienteId=20 | posGaragemCliente=-1
[2026-04-20 12:09:00.996] VENDA_LOJA_CLIENTE | veiculoId=26 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=24 | clienteId=4 | posGaragemCliente=-1
[2026-04-20 12:09:01.000] VENDA_LOJA_CLIENTE | veiculoId=25 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=25 | clienteId=10 | posGaragemCliente=-1
[2026-04-20 12:09:01.060] VENDA_LOJA_CLIENTE | veiculoId=27 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=26 | clienteId=7 | posGaragemCliente=-1
[2026-04-20 12:09:01.340] VENDA_LOJA_CLIENTE | veiculoId=28 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=27 | clienteId=18 | posGaragemCliente=-1
[2026-04-20 12:09:01.433] VENDA_LOJA_CLIENTE | veiculoId=29 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=28 | clienteId=3 | posGaragemCliente=-1
[2026-04-20 12:09:01.578] VENDA_LOJA_CLIENTE | veiculoId=30 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=29 | clienteId=16 | posGaragemCliente=-1
[2026-04-20 12:09:01.618] VENDA_LOJA_CLIENTE | veiculoId=31 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=30 | clienteId=12 | posGaragemCliente=-1
[2026-04-20 12:09:01.638] VENDA_LOJA_CLIENTE | veiculoId=32 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=31 | clienteId=4 | posGaragemCliente=-1
[2026-04-20 12:09:01.661] VENDA_LOJA_CLIENTE | veiculoId=52 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=11 | clienteId=10 | posGaragemCliente=-1
[2026-04-20 12:09:01.813] VENDA_LOJA_CLIENTE | veiculoId=55 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=13 | clienteId=15 | posGaragemCliente=-1
[2026-04-20 12:09:01.852] VENDA_LOJA_CLIENTE | veiculoId=56 | cor=B | tipo=SUV | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=15 | clienteId=3 | posGaragemCliente=-1
[2026-04-20 12:09:01.882] VENDA_LOJA_CLIENTE | veiculoId=59 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=18 | clienteId=20 | posGaragemCliente=-1
[2026-04-20 12:09:01.934] VENDA_LOJA_CLIENTE | veiculoId=61 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=19 | clienteId=17 | posGaragemCliente=-1
[2026-04-20 12:09:01.949] VENDA_LOJA_CLIENTE | veiculoId=62 | cor=B | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=21 | clienteId=7 | posGaragemCliente=-1
[2026-04-20 12:09:01.990] VENDA_LOJA_CLIENTE | veiculoId=64 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=23 | clienteId=18 | posGaragemCliente=-1
[2026-04-20 12:09:02.044] VENDA_LOJA_CLIENTE | veiculoId=66 | cor=R | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=25 | clienteId=11 | posGaragemCliente=-1
[2026-04-20 12:09:02.137] VENDA_LOJA_CLIENTE | veiculoId=69 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=28 | clienteId=2 | posGaragemCliente=-1
[2026-04-20 12:09:02.261] VENDA_LOJA_CLIENTE | veiculoId=71 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=30 | clienteId=3 | posGaragemCliente=-1
[2026-04-20 12:09:02.263] VENDA_LOJA_CLIENTE | veiculoId=74 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=33 | clienteId=5 | posGaragemCliente=-1
[2026-04-20 12:09:02.305] VENDA_LOJA_CLIENTE | veiculoId=77 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=36 | clienteId=10 | posGaragemCliente=-1
[2026-04-20 12:09:02.361] VENDA_LOJA_CLIENTE | veiculoId=82 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=1 | clienteId=14 | posGaragemCliente=-1
[2026-04-20 12:09:02.369] VENDA_LOJA_CLIENTE | veiculoId=87 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=6 | clienteId=18 | posGaragemCliente=-1
[2026-04-20 12:09:02.418] VENDA_LOJA_CLIENTE | veiculoId=89 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=8 | clienteId=12 | posGaragemCliente=-1
[2026-04-20 12:09:02.601] VENDA_LOJA_CLIENTE | veiculoId=92 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=11 | clienteId=15 | posGaragemCliente=-1
[2026-04-20 12:09:02.831] VENDA_LOJA_CLIENTE | veiculoId=95 | cor=B | tipo=SEDAN | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=14 | clienteId=20 | posGaragemCliente=-1
[2026-04-20 12:09:02.872] VENDA_LOJA_CLIENTE | veiculoId=99 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=17 | clienteId=13 | posGaragemCliente=-1
[2026-04-20 12:09:02.941] VENDA_LOJA_CLIENTE | veiculoId=101 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=20 | clienteId=17 | posGaragemCliente=-1
[2026-04-20 12:09:03.413] VENDA_LOJA_CLIENTE | veiculoId=103 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=22 | clienteId=4 | posGaragemCliente=-1
[2026-04-20 12:09:03.544] VENDA_LOJA_CLIENTE | veiculoId=105 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=24 | clienteId=10 | posGaragemCliente=-1
