[2026-04-20 12:08:44.219] VENDA_FABRICA_LOJA | veiculoId=33 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=32 | lojaId=3 | posEsteiraLoja=0
[2026-04-20 12:08:44.274] VENDA_FABRICA_LOJA | veiculoId=34 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=33 | lojaId=3 | posEsteiraLoja=1
[2026-04-20 12:08:44.327] VENDA_FABRICA_LOJA | veiculoId=35 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=34 | lojaId=3 | posEsteiraLoja=2
[2026-04-20 12:08:44.380] VENDA_FABRICA_LOJA | veiculoId=36 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=35 | lojaId=3 | posEsteiraLoja=3
[2026-04-20 12:08:44.433] VENDA_FABRICA_LOJA | veiculoId=39 | cor=R | tipo=SEDAN | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=36 | lojaId=3 | posEsteiraLoja=4
[2026-04-20 12:08:44.485] VENDA_FABRICA_LOJA | veiculoId=40 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=37 | lojaId=3 | posEsteiraLoja=5
[2026-04-20 12:08:44.538] VENDA_FABRICA_LOJA | veiculoId=37 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=38 | lojaId=3 | posEsteiraLoja=6
[2026-04-20 12:08:44.590] VENDA_FABRICA_LOJA | veiculoId=41 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=39 | lojaId=3 | posEsteiraLoja=7
[2026-04-20 12:08:44.642] VENDA_FABRICA_LOJA | veiculoId=38 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=0 | lojaId=3 | posEsteiraLoja=8
[2026-04-20 12:08:44.694] VENDA_FABRICA_LOJA | veiculoId=42 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=1 | lojaId=3 | posEsteiraLoja=9
[2026-04-20 12:08:44.746] VENDA_FABRICA_LOJA | veiculoId=43 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=2 | lojaId=3 | posEsteiraLoja=10
[2026-04-20 12:08:44.799] VENDA_FABRICA_LOJA | veiculoId=44 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=3 | lojaId=3 | posEsteiraLoja=11
[2026-04-20 12:08:44.852] VENDA_FABRICA_LOJA | veiculoId=45 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=4 | lojaId=3 | posEsteiraLoja=12
[2026-04-20 12:08:44.905] VENDA_FABRICA_LOJA | veiculoId=46 | cor=G | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=5 | lojaId=3 | posEsteiraLoja=13
[2026-04-20 12:08:44.957] VENDA_FABRICA_LOJA | veiculoId=47 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=6 | lojaId=3 | posEsteiraLoja=14
[2026-04-20 12:09:00.516] VENDA_FABRICA_LOJA | veiculoId=48 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=7 | lojaId=3 | posEsteiraLoja=0
[2026-04-20 12:09:00.569] VENDA_FABRICA_LOJA | veiculoId=49 | cor=G | tipo=SEDAN | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=8 | lojaId=3 | posEsteiraLoja=1
[2026-04-20 12:09:00.659] VENDA_FABRICA_LOJA | veiculoId=50 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=9 | lojaId=3 | posEsteiraLoja=2
[2026-04-20 12:09:00.825] VENDA_FABRICA_LOJA | veiculoId=53 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=12 | lojaId=3 | posEsteiraLoja=3
[2026-04-20 12:09:01.135] VENDA_FABRICA_LOJA | veiculoId=58 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=17 | lojaId=3 | posEsteiraLoja=4
[2026-04-20 12:09:01.203] VENDA_FABRICA_LOJA | veiculoId=68 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=27 | lojaId=3 | posEsteiraLoja=5
[2026-04-20 12:09:01.301] VENDA_FABRICA_LOJA | veiculoId=72 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=31 | lojaId=3 | posEsteiraLoja=6
[2026-04-20 12:09:01.359] VENDA_FABRICA_LOJA | veiculoId=76 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=35 | lojaId=3 | posEsteiraLoja=7
[2026-04-20 12:09:01.421] VENDA_FABRICA_LOJA | veiculoId=79 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=37 | lojaId=3 | posEsteiraLoja=8
[2026-04-20 12:09:01.484] VENDA_FABRICA_LOJA | veiculoId=80 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=39 | lojaId=3 | posEsteiraLoja=9
[2026-04-20 12:09:01.548] VENDA_FABRICA_LOJA | veiculoId=84 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=3 | lojaId=3 | posEsteiraLoja=10
[2026-04-20 12:09:01.651] VENDA_FABRICA_LOJA | veiculoId=85 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=4 | lojaId=3 | posEsteiraLoja=11
[2026-04-20 12:09:01.719] VENDA_FABRICA_LOJA | veiculoId=90 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=9 | lojaId=3 | posEsteiraLoja=12
[2026-04-20 12:09:01.781] VENDA_FABRICA_LOJA | veiculoId=93 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=12 | lojaId=3 | posEsteiraLoja=13
[2026-04-20 12:09:01.843] VENDA_FABRICA_LOJA | veiculoId=96 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=15 | lojaId=3 | posEsteiraLoja=14
[2026-04-20 12:09:01.904] VENDA_FABRICA_LOJA | veiculoId=98 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=18 | lojaId=3 | posEsteiraLoja=0
[2026-04-20 12:09:01.966] VENDA_FABRICA_LOJA | veiculoId=102 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=21 | lojaId=3 | posEsteiraLoja=1
[2026-04-20 12:09:02.028] VENDA_FABRICA_LOJA | veiculoId=104 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=23 | lojaId=3 | posEsteiraLoja=2
[2026-04-20 12:09:02.089] VENDA_FABRICA_LOJA | veiculoId=106 | cor=G | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=25 | lojaId=3 | posEsteiraLoja=3
[2026-04-20 12:09:02.152] VENDA_FABRICA_LOJA | veiculoId=109 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=28 | lojaId=3 | posEsteiraLoja=4
[2026-04-20 12:09:02.213] VENDA_FABRICA_LOJA | veiculoId=112 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=31 | lojaId=3 | posEsteiraLoja=5
[2026-04-20 12:09:02.542] VENDA_FABRICA_LOJA | veiculoId=115 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=34 | lojaId=3 | posEsteiraLoja=6
[2026-04-20 12:09:02.640] VENDA_FABRICA_LOJA | veiculoId=127 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=6 | lojaId=3 | posEsteiraLoja=7
[2026-04-20 12:09:02.750] VENDA_FABRICA_LOJA | veiculoId=131 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=10 | lojaId=3 | posEsteiraLoja=8
[2026-04-20 12:09:02.832] VENDA_FABRICA_LOJA | veiculoId=135 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=14 | lojaId=3 | posEsteiraLoja=9
[2026-04-20 12:09:03.025] VENDA_FABRICA_LOJA | veiculoId=137 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=16 | lojaId=3 | posEsteiraLoja=10
