[2026-04-20 12:09:00.515] VENDA_LOJA_CLIENTE | veiculoId=33 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=32 | clienteId=8 | posGaragemCliente=-1
[2026-04-20 12:09:00.530] VENDA_LOJA_CLIENTE | veiculoId=34 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=33 | clienteId=16 | posGaragemCliente=-1
[2026-04-20 12:09:00.659] VENDA_LOJA_CLIENTE | veiculoId=35 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=34 | clienteId=7 | posGaragemCliente=-1
[2026-04-20 12:09:00.825] VENDA_LOJA_CLIENTE | veiculoId=36 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=35 | clienteId=2 | posGaragemCliente=-1
[2026-04-20 12:09:01.135] VENDA_LOJA_CLIENTE | veiculoId=39 | cor=R | tipo=SEDAN | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=36 | clienteId=11 | posGaragemCliente=-1
[2026-04-20 12:09:01.203] VENDA_LOJA_CLIENTE | veiculoId=40 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=37 | clienteId=8 | posGaragemCliente=-1
[2026-04-20 12:09:01.301] VENDA_LOJA_CLIENTE | veiculoId=37 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=38 | clienteId=19 | posGaragemCliente=-1
[2026-04-20 12:09:01.322] VENDA_LOJA_CLIENTE | veiculoId=41 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=39 | clienteId=12 | posGaragemCliente=-1
[2026-04-20 12:09:01.352] VENDA_LOJA_CLIENTE | veiculoId=38 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=0 | clienteId=15 | posGaragemCliente=-1
[2026-04-20 12:09:01.461] VENDA_LOJA_CLIENTE | veiculoId=42 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=1 | clienteId=13 | posGaragemCliente=-1
[2026-04-20 12:09:01.490] VENDA_LOJA_CLIENTE | veiculoId=43 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=2 | clienteId=17 | posGaragemCliente=-1
[2026-04-20 12:09:01.651] VENDA_LOJA_CLIENTE | veiculoId=44 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=3 | clienteId=9 | posGaragemCliente=-1
[2026-04-20 12:09:01.679] VENDA_LOJA_CLIENTE | veiculoId=45 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=4 | clienteId=11 | posGaragemCliente=-1
[2026-04-20 12:09:01.681] VENDA_LOJA_CLIENTE | veiculoId=46 | cor=G | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=5 | clienteId=5 | posGaragemCliente=-1
[2026-04-20 12:09:01.717] VENDA_LOJA_CLIENTE | veiculoId=47 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=6 | clienteId=7 | posGaragemCliente=-1
[2026-04-20 12:09:01.753] VENDA_LOJA_CLIENTE | veiculoId=48 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=7 | clienteId=13 | posGaragemCliente=-1
[2026-04-20 12:09:01.822] VENDA_LOJA_CLIENTE | veiculoId=49 | cor=G | tipo=SEDAN | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=8 | clienteId=6 | posGaragemCliente=-1
[2026-04-20 12:09:01.851] VENDA_LOJA_CLIENTE | veiculoId=50 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=9 | clienteId=1 | posGaragemCliente=-1
[2026-04-20 12:09:01.854] VENDA_LOJA_CLIENTE | veiculoId=53 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=12 | clienteId=14 | posGaragemCliente=-1
[2026-04-20 12:09:02.049] VENDA_LOJA_CLIENTE | veiculoId=58 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=17 | clienteId=16 | posGaragemCliente=-1
[2026-04-20 12:09:02.154] VENDA_LOJA_CLIENTE | veiculoId=68 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=27 | clienteId=7 | posGaragemCliente=-1
[2026-04-20 12:09:02.542] VENDA_LOJA_CLIENTE | veiculoId=72 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=31 | clienteId=19 | posGaragemCliente=-1
[2026-04-20 12:09:02.640] VENDA_LOJA_CLIENTE | veiculoId=76 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=35 | clienteId=3 | posGaragemCliente=-1
[2026-04-20 12:09:02.750] VENDA_LOJA_CLIENTE | veiculoId=79 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=37 | clienteId=5 | posGaragemCliente=-1
[2026-04-20 12:09:02.832] VENDA_LOJA_CLIENTE | veiculoId=80 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=39 | clienteId=15 | posGaragemCliente=-1
[2026-04-20 12:09:03.025] VENDA_LOJA_CLIENTE | veiculoId=84 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=3 | clienteId=10 | posGaragemCliente=-1
