[2026-04-20 12:06:03.015] PRODUCAO | veiculoId=1 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=1
[2026-04-20 12:06:03.015] PRODUCAO | veiculoId=2 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=0
[2026-04-20 12:06:03.170] PRODUCAO | veiculoId=3 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=2
[2026-04-20 12:06:03.170] PRODUCAO | veiculoId=4 | cor=G | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=3
[2026-04-20 12:06:03.171] PRODUCAO | veiculoId=5 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=4
[2026-04-20 12:06:03.171] PRODUCAO | veiculoId=6 | cor=R | tipo=SUV | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=5
[2026-04-20 12:06:03.322] PRODUCAO | veiculoId=7 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=6
[2026-04-20 12:06:03.323] PRODUCAO | veiculoId=9 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=8
[2026-04-20 12:06:03.323] PRODUCAO | veiculoId=8 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=7
[2026-04-20 12:06:03.324] PRODUCAO | veiculoId=10 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=9
[2026-04-20 12:06:03.474] PRODUCAO | veiculoId=12 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=11
[2026-04-20 12:06:03.474] PRODUCAO | veiculoId=11 | cor=B | tipo=SEDAN | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=10
[2026-04-20 12:06:03.475] PRODUCAO | veiculoId=13 | cor=G | tipo=SEDAN | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=12
[2026-04-20 12:06:03.626] PRODUCAO | veiculoId=16 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=15
[2026-04-20 12:06:03.626] PRODUCAO | veiculoId=14 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=14
[2026-04-20 12:06:03.626] PRODUCAO | veiculoId=15 | cor=R | tipo=SEDAN | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=13
[2026-04-20 12:06:03.777] PRODUCAO | veiculoId=17 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=16
[2026-04-20 12:06:03.778] PRODUCAO | veiculoId=19 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=18
[2026-04-20 12:06:03.778] PRODUCAO | veiculoId=18 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=17
[2026-04-20 12:06:03.928] PRODUCAO | veiculoId=20 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=19
[2026-04-20 12:06:03.928] PRODUCAO | veiculoId=21 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=20
[2026-04-20 12:06:03.929] PRODUCAO | veiculoId=22 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=21
[2026-04-20 12:06:03.930] PRODUCAO | veiculoId=23 | cor=B | tipo=SEDAN | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=22
[2026-04-20 12:06:03.930] PRODUCAO | veiculoId=24 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=23
[2026-04-20 12:06:04.080] PRODUCAO | veiculoId=26 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=24
[2026-04-20 12:06:04.080] PRODUCAO | veiculoId=25 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=25
[2026-04-20 12:06:04.081] PRODUCAO | veiculoId=27 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=26
[2026-04-20 12:06:04.081] PRODUCAO | veiculoId=28 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=27
[2026-04-20 12:06:04.231] PRODUCAO | veiculoId=30 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=29
[2026-04-20 12:06:04.231] PRODUCAO | veiculoId=29 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=28
[2026-04-20 12:06:04.232] PRODUCAO | veiculoId=31 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=30
[2026-04-20 12:06:04.232] PRODUCAO | veiculoId=32 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=31
[2026-04-20 12:06:04.383] PRODUCAO | veiculoId=33 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=32
[2026-04-20 12:06:04.384] PRODUCAO | veiculoId=34 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=33
[2026-04-20 12:06:04.384] PRODUCAO | veiculoId=35 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=34
[2026-04-20 12:06:04.384] PRODUCAO | veiculoId=36 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=35
[2026-04-20 12:06:04.536] PRODUCAO | veiculoId=40 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=37
[2026-04-20 12:06:04.536] PRODUCAO | veiculoId=37 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=38
[2026-04-20 12:06:04.536] PRODUCAO | veiculoId=39 | cor=R | tipo=SEDAN | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=36
[2026-04-20 12:06:04.536] PRODUCAO | veiculoId=41 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=39
[2026-04-20 12:07:13.792] PRODUCAO | veiculoId=38 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=0
[2026-04-20 12:07:13.860] PRODUCAO | veiculoId=42 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=1
[2026-04-20 12:07:13.911] PRODUCAO | veiculoId=43 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=2
[2026-04-20 12:07:13.963] PRODUCAO | veiculoId=44 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=3
